Région linguistique,Canton,Nombre moyen de chômeurs,Taux de chômage
Suisse alémanique,ZH,30'084,3.7
Suisse alémanique,BE,15'283,2.7
Suisse alémanique,LU,4'602,2.1
Suisse alémanique,UR,202,1.0
Suisse alémanique,SZ,1'537,1.8
Suisse alémanique,OW,213,1.0
Suisse alémanique,NW,278,1.1
Suisse alémanique,GL,531,2.4
Suisse alémanique,ZG,1'603,2.4
Suisse alémanique,SO,4'315,3.0
Suisse alémanique,BS,3'832,3.9
Suisse alémanique,BL,4'445,3.0
Suisse alémanique,SH,1'438,3.3
Suisse alémanique,AR,558,1.8
Suisse alémanique,AI,99,1.1
Suisse alémanique,SG,6'976,2.5
Suisse alémanique,GR,1'885,1.7
Suisse alémanique,AG,11'484,3.2
Suisse alémanique,TG,3'794,2.5
Suisse romande et Tessin,FR,4'644,2.8
Suisse romande et Tessin,TI,5'877,3.5
Suisse romande et Tessin,VD,18'741,4.7
Suisse romande et Tessin,VS,6'873,3.9
Suisse romande et Tessin,NE,5'365,5.8
Suisse romande et Tessin,GE,12'965,5.5
Suisse romande et Tessin,JU,1'695,4.6
