Classes d'âge,Nationalité,Janvier 2016,Février 2016,Mars 2016,Avril 2016,Mai 2016,Juin 2016,Juillet 2016,Août 2016,Septembre 2016,Octobre 2016,Novembre 2016,Décembre 2016
15-19 ans,Etrangers,1'480,1'444,1'340,1'214,1'131,1'174,1'578,2'049,1'795,1'530,1'457,1'368
20-24 ans,Etrangers,5'751,5'630,5'221,4'908,4'594,4'231,4'093,4'650,4'709,4'754,4'878,5'125
25-29 ans,Etrangers,10'751,10'564,10'039,9'591,8'966,8'338,8'152,8'144,8'364,8'724,9'168,9'899
30-34 ans,Etrangers,13'451,13'177,12'615,11'994,11'576,10'921,10'631,10'519,10'580,10'960,11'584,12'743
35-39 ans,Etrangers,12'432,12'146,11'604,11'212,10'708,10'136,9'905,9'954,10'085,10'457,11'126,12'267
40-44 ans,Etrangers,10'583,10'319,9'865,9'416,9'031,8'491,8'280,8'276,8'327,8'716,9'287,10'382
45-49 ans,Etrangers,9'493,9'271,8'728,8'285,7'820,7'309,7'146,7'087,7'072,7'327,7'882,8'895
50-54 ans,Etrangers,7'676,7'548,7'235,6'823,6'460,6'165,5'903,5'771,5'891,6'140,6'712,7'647
55-59 ans,Etrangers,5'156,5'143,4'994,4'719,4'565,4'327,4'224,4'259,4'263,4'464,4'806,5'472
60 ans et plus,Etrangers,2'792,2'763,2'734,2'681,2'661,2'537,2'504,2'506,2'558,2'662,2'766,2'872
15-19 ans,Suisses,3'125,2'928,2'580,2'363,2'225,2'168,2'918,3'946,3'641,3'226,3'048,2'868
20-24 ans,Suisses,10'824,10'489,9'766,9'386,8'773,8'218,8'518,9'995,9'882,9'585,9'538,9'855
25-29 ans,Suisses,11'434,11'345,11'027,10'415,10'279,9'992,10'146,10'374,10'577,10'594,10'728,11'393
30-34 ans,Suisses,9'506,9'493,9'204,8'951,8'816,8'754,8'828,8'917,8'796,8'888,9'029,9'512
35-39 ans,Suisses,7'819,7'766,7'628,7'445,7'408,7'223,7'302,7'344,7'270,7'311,7'455,7'808
40-44 ans,Suisses,7'955,7'873,7'676,7'511,7'437,7'268,7'345,7'335,7'254,7'286,7'301,7'605
45-49 ans,Suisses,9'070,9'074,8'842,8'687,8'585,8'429,8'389,8'387,8'338,8'379,8'565,8'993
50-54 ans,Suisses,9'620,9'700,9'581,9'448,9'345,9'173,9'179,9'177,9'176,9'285,9'429,9'774
55-59 ans,Suisses,8'153,8'161,8'081,7'955,7'853,7'772,7'748,7'671,7'629,7'715,7'877,8'191
60 ans et plus,Suisses,6'573,6'583,6'564,6'536,6'545,6'501,6'521,6'497,6'468,6'528,6'592,6'703
